question,golden_answer,generated_answer,evaluation
What is SQL indexing?,SQL indexing is a data structure technique used to quickly locate and access the data in a database table.,"SQL indexing is a data structure (often a B‑tree or hash) that the database creates on one or more table columns to speed up row retrieval. It works like a book’s index, allowing fast lookups, sorts, and joins at the cost of extra storage and slower writes.","{'correctness': 10, 'relevance': 10, 'completeness': 9, 'faithfulness': 9, 'hallucination': 10, 'reasoning_quality': 9, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 9}"
What is a primary key?,A primary key is a unique identifier for a record in a database table.,"A primary key is a unique identifier for each record in a database table, ensuring no duplicate rows and enabling efficient data retrieval and relationships. It cannot contain NULL values and is often a single column, though it can be a composite of multiple columns.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 9, 'hallucination': 10, 'reasoning_quality': 9, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 9}"
What is a foreign key?,A foreign key is a field in a database table that links to the primary key of another table.,"A foreign key is a column (or set of columns) in a table that references the primary key of another table, establishing a relational link and enforcing referential integrity between the two tables.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 10, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is normalization?,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity.,"Normalization is the process of organizing a database to reduce redundancy and improve data integrity by dividing tables into related structures and defining relationships, typically following normal forms (1NF, 2NF, 3NF, etc.).","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 9, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is denormalization?,Denormalization is the process of combining tables to improve read performance at the cost of write performance and data integrity.,"Denormalization is a database design technique that intentionally adds redundant data to a normalized schema, merging tables or duplicating fields to improve read performance and simplify queries, at the cost of increased storage and potential update anomalies.","{'correctness': 9, 'relevance': 10, 'completeness': 9, 'faithfulness': 9, 'hallucination': 9, 'reasoning_quality': 8, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 9}"
What is a composite key?,A composite key is a combination of two or more columns in a database table that uniquely identifies a row in that table.,"A composite key is a primary key that consists of two or more columns (attributes) together, uniquely identifying each record in a table when no single column alone can serve as a unique identifier.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 10, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is a surrogate key?,"A surrogate key is an artificial key that is used to uniquely identify a record in a table, often implemented as an auto-incrementing integer.","A surrogate key is an artificial, system‑generated identifier (often an auto‑incrementing integer) used as a table’s primary key instead of a natural business key. It has no business meaning, ensures uniqueness, and remains stable even if real data changes.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 10, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is a natural key?,A natural key is a type of primary key that is formed of attributes that naturally exist and are used to identify a record.,"A natural key is a column (or set of columns) that already exists in the data and uniquely identifies each record—e.g., a Social Security number, email address, or ISBN—used as the primary key instead of an artificial surrogate key.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 10, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 10}"
What is a database schema?,"A database schema is the structure that defines the organization of data in a database, including tables, fields, relationships, and constraints.","A database schema is the organized structure that defines how data is stored in a database—its tables, columns, data types, relationships, constraints, indexes, and other elements—essentially the blueprint governing the database’s logical design.","{'correctness': 10, 'relevance': 10, 'completeness': 10, 'faithfulness': 10, 'hallucination': 10, 'reasoning_quality': 10, 'fluency_and_readability': 10, 'coherence': 10, 'safety_and_toxicity': 10, 'semantic_similarity': 9.5}"
What is a database instance?,"A database instance is a specific implementation of a database, including the data and the database management system (DBMS) that manages it.","A database instance is the running set of processes and memory structures that manage a database’s data files, handling queries, transactions, and security. It’s the active, in‑memory representation of a database system, distinct from the stored data itself.","{'correctness': 7, 'relevance': 9, 'completeness': 6, 'faithfulness': 5, 'hallucination': 9, 'reasoning_quality': 8, 'fluency_and_readability': 9, 'coherence': 9, 'safety_and_toxicity': 10, 'semantic_similarity': 6}"
